Measure	Value	Library
File type	Conventional base calls	WUB_VD03_S235_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD03_S235_L003_R2_001_fastqc
Total Sequences	8733909	WUB_VD03_S235_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD03_S235_L003_R2_001_fastqc
Sequence length	151	WUB_VD03_S235_L003_R2_001_fastqc
%GC	62	WUB_VD03_S235_L003_R2_001_fastqc
Filename	WUB_VD04_S226_L003_R1_001.fastq.gz	WUB_VD04_S226_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD04_S226_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD04_S226_L003_R1_001_fastqc
Total Sequences	8967375	WUB_VD04_S226_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD04_S226_L003_R1_001_fastqc
Sequence length	151	WUB_VD04_S226_L003_R1_001_fastqc
%GC	63	WUB_VD04_S226_L003_R1_001_fastqc
Filename	WUB_VD04_S226_L003_R2_001.fastq.gz	WUB_VD04_S226_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD04_S226_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD04_S226_L003_R2_001_fastqc
Total Sequences	8967375	WUB_VD04_S226_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD04_S226_L003_R2_001_fastqc
Sequence length	151	WUB_VD04_S226_L003_R2_001_fastqc
%GC	63	WUB_VD04_S226_L003_R2_001_fastqc
Filename	WUB_VD05_S236_L003_R1_001.fastq.gz	WUB_VD05_S236_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD05_S236_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD05_S236_L003_R1_001_fastqc
Total Sequences	9618043	WUB_VD05_S236_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD05_S236_L003_R1_001_fastqc
Sequence length	151	WUB_VD05_S236_L003_R1_001_fastqc
%GC	64	WUB_VD05_S236_L003_R1_001_fastqc
Filename	WUB_VD05_S236_L003_R2_001.fastq.gz	WUB_VD05_S236_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD05_S236_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD05_S236_L003_R2_001_fastqc
Total Sequences	9618043	WUB_VD05_S236_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD05_S236_L003_R2_001_fastqc
Sequence length	151	WUB_VD05_S236_L003_R2_001_fastqc
%GC	64	WUB_VD05_S236_L003_R2_001_fastqc
Filename	WUB_VD06_S237_L003_R1_001.fastq.gz	WUB_VD06_S237_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD06_S237_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD06_S237_L003_R1_001_fastqc
Total Sequences	10279425	WUB_VD06_S237_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD06_S237_L003_R1_001_fastqc
Sequence length	151	WUB_VD06_S237_L003_R1_001_fastqc
%GC	63	WUB_VD06_S237_L003_R1_001_fastqc
Filename	WUB_VD06_S237_L003_R2_001.fastq.gz	WUB_VD06_S237_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD06_S237_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD06_S237_L003_R2_001_fastqc
Total Sequences	10279425	WUB_VD06_S237_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD06_S237_L003_R2_001_fastqc
Sequence length	151	WUB_VD06_S237_L003_R2_001_fastqc
%GC	63	WUB_VD06_S237_L003_R2_001_fastqc
Filename	WUB_VD07_S185_L003_R1_001.fastq.gz	WUB_VD07_S185_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD07_S185_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD07_S185_L003_R1_001_fastqc
Total Sequences	10299937	WUB_VD07_S185_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD07_S185_L003_R1_001_fastqc
Sequence length	151	WUB_VD07_S185_L003_R1_001_fastqc
%GC	61	WUB_VD07_S185_L003_R1_001_fastqc
Filename	WUB_VD07_S185_L003_R2_001.fastq.gz	WUB_VD07_S185_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD07_S185_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD07_S185_L003_R2_001_fastqc
Total Sequences	10299937	WUB_VD07_S185_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD07_S185_L003_R2_001_fastqc
Sequence length	151	WUB_VD07_S185_L003_R2_001_fastqc
%GC	61	WUB_VD07_S185_L003_R2_001_fastqc
Filename	WUB_VD08_S186_L003_R1_001.fastq.gz	WUB_VD08_S186_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD08_S186_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD08_S186_L003_R1_001_fastqc
Total Sequences	9148604	WUB_VD08_S186_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD08_S186_L003_R1_001_fastqc
Sequence length	151	WUB_VD08_S186_L003_R1_001_fastqc
%GC	62	WUB_VD08_S186_L003_R1_001_fastqc
Filename	WUB_VD08_S186_L003_R2_001.fastq.gz	WUB_VD08_S186_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD08_S186_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD08_S186_L003_R2_001_fastqc
Total Sequences	9148604	WUB_VD08_S186_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD08_S186_L003_R2_001_fastqc
Sequence length	151	WUB_VD08_S186_L003_R2_001_fastqc
%GC	62	WUB_VD08_S186_L003_R2_001_fastqc
Filename	WUB_VD09_S187_L003_R1_001.fastq.gz	WUB_VD09_S187_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD09_S187_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD09_S187_L003_R1_001_fastqc
Total Sequences	9371376	WUB_VD09_S187_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD09_S187_L003_R1_001_fastqc
Sequence length	151	WUB_VD09_S187_L003_R1_001_fastqc
%GC	61	WUB_VD09_S187_L003_R1_001_fastqc
Filename	WUB_VD09_S187_L003_R2_001.fastq.gz	WUB_VD09_S187_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD09_S187_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD09_S187_L003_R2_001_fastqc
Total Sequences	9371376	WUB_VD09_S187_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD09_S187_L003_R2_001_fastqc
Sequence length	151	WUB_VD09_S187_L003_R2_001_fastqc
%GC	61	WUB_VD09_S187_L003_R2_001_fastqc
Filename	WUB_VD10_S188_L003_R1_001.fastq.gz	WUB_VD10_S188_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD10_S188_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD10_S188_L003_R1_001_fastqc
Total Sequences	9715889	WUB_VD10_S188_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD10_S188_L003_R1_001_fastqc
Sequence length	151	WUB_VD10_S188_L003_R1_001_fastqc
%GC	62	WUB_VD10_S188_L003_R1_001_fastqc
Filename	WUB_VD10_S188_L003_R2_001.fastq.gz	WUB_VD10_S188_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD10_S188_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD10_S188_L003_R2_001_fastqc
Total Sequences	9715889	WUB_VD10_S188_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD10_S188_L003_R2_001_fastqc
Sequence length	151	WUB_VD10_S188_L003_R2_001_fastqc
%GC	62	WUB_VD10_S188_L003_R2_001_fastqc
Filename	WUB_VD11_S189_L003_R1_001.fastq.gz	WUB_VD11_S189_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD11_S189_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD11_S189_L003_R1_001_fastqc
Total Sequences	10752406	WUB_VD11_S189_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD11_S189_L003_R1_001_fastqc
Sequence length	151	WUB_VD11_S189_L003_R1_001_fastqc
%GC	61	WUB_VD11_S189_L003_R1_001_fastqc
Filename	WUB_VD11_S189_L003_R2_001.fastq.gz	WUB_VD11_S189_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD11_S189_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD11_S189_L003_R2_001_fastqc
Total Sequences	10752406	WUB_VD11_S189_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD11_S189_L003_R2_001_fastqc
Sequence length	151	WUB_VD11_S189_L003_R2_001_fastqc
%GC	60	WUB_VD11_S189_L003_R2_001_fastqc
Filename	WUB_VD12_S190_L003_R1_001.fastq.gz	WUB_VD12_S190_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD12_S190_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD12_S190_L003_R1_001_fastqc
Total Sequences	10735521	WUB_VD12_S190_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD12_S190_L003_R1_001_fastqc
Sequence length	151	WUB_VD12_S190_L003_R1_001_fastqc
%GC	62	WUB_VD12_S190_L003_R1_001_fastqc
Filename	WUB_VD12_S190_L003_R2_001.fastq.gz	WUB_VD12_S190_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD12_S190_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD12_S190_L003_R2_001_fastqc
Total Sequences	10735521	WUB_VD12_S190_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD12_S190_L003_R2_001_fastqc
Sequence length	151	WUB_VD12_S190_L003_R2_001_fastqc
%GC	61	WUB_VD12_S190_L003_R2_001_fastqc
Filename	WUB_VD13_S191_L003_R1_001.fastq.gz	WUB_VD13_S191_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD13_S191_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD13_S191_L003_R1_001_fastqc
Total Sequences	10081414	WUB_VD13_S191_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD13_S191_L003_R1_001_fastqc
Sequence length	151	WUB_VD13_S191_L003_R1_001_fastqc
%GC	61	WUB_VD13_S191_L003_R1_001_fastqc
Filename	WUB_VD13_S191_L003_R2_001.fastq.gz	WUB_VD13_S191_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD13_S191_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD13_S191_L003_R2_001_fastqc
Total Sequences	10081414	WUB_VD13_S191_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD13_S191_L003_R2_001_fastqc
Sequence length	151	WUB_VD13_S191_L003_R2_001_fastqc
%GC	61	WUB_VD13_S191_L003_R2_001_fastqc
Filename	WUB_VD14_S192_L003_R1_001.fastq.gz	WUB_VD14_S192_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD14_S192_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD14_S192_L003_R1_001_fastqc
Total Sequences	9506100	WUB_VD14_S192_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD14_S192_L003_R1_001_fastqc
Sequence length	151	WUB_VD14_S192_L003_R1_001_fastqc
%GC	62	WUB_VD14_S192_L003_R1_001_fastqc
Filename	WUB_VD14_S192_L003_R2_001.fastq.gz	WUB_VD14_S192_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD14_S192_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD14_S192_L003_R2_001_fastqc
Total Sequences	9506100	WUB_VD14_S192_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD14_S192_L003_R2_001_fastqc
Sequence length	151	WUB_VD14_S192_L003_R2_001_fastqc
%GC	61	WUB_VD14_S192_L003_R2_001_fastqc
Filename	WUB_VD15_S193_L003_R1_001.fastq.gz	WUB_VD15_S193_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD15_S193_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD15_S193_L003_R1_001_fastqc
Total Sequences	9054519	WUB_VD15_S193_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD15_S193_L003_R1_001_fastqc
Sequence length	151	WUB_VD15_S193_L003_R1_001_fastqc
%GC	61	WUB_VD15_S193_L003_R1_001_fastqc
Filename	WUB_VD15_S193_L003_R2_001.fastq.gz	WUB_VD15_S193_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD15_S193_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD15_S193_L003_R2_001_fastqc
Total Sequences	9054519	WUB_VD15_S193_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD15_S193_L003_R2_001_fastqc
Sequence length	151	WUB_VD15_S193_L003_R2_001_fastqc
%GC	61	WUB_VD15_S193_L003_R2_001_fastqc
Filename	WUB_VD16_S194_L003_R1_001.fastq.gz	WUB_VD16_S194_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD16_S194_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD16_S194_L003_R1_001_fastqc
Total Sequences	9867797	WUB_VD16_S194_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD16_S194_L003_R1_001_fastqc
Sequence length	151	WUB_VD16_S194_L003_R1_001_fastqc
%GC	62	WUB_VD16_S194_L003_R1_001_fastqc
Filename	WUB_VD16_S194_L003_R2_001.fastq.gz	WUB_VD16_S194_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD16_S194_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD16_S194_L003_R2_001_fastqc
Total Sequences	9867797	WUB_VD16_S194_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD16_S194_L003_R2_001_fastqc
Sequence length	151	WUB_VD16_S194_L003_R2_001_fastqc
%GC	62	WUB_VD16_S194_L003_R2_001_fastqc
Filename	WUB_VD17_S195_L003_R1_001.fastq.gz	WUB_VD17_S195_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD17_S195_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD17_S195_L003_R1_001_fastqc
Total Sequences	10791277	WUB_VD17_S195_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD17_S195_L003_R1_001_fastqc
Sequence length	151	WUB_VD17_S195_L003_R1_001_fastqc
%GC	62	WUB_VD17_S195_L003_R1_001_fastqc
Filename	WUB_VD17_S195_L003_R2_001.fastq.gz	WUB_VD17_S195_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD17_S195_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD17_S195_L003_R2_001_fastqc
Total Sequences	10791277	WUB_VD17_S195_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD17_S195_L003_R2_001_fastqc
Sequence length	151	WUB_VD17_S195_L003_R2_001_fastqc
%GC	62	WUB_VD17_S195_L003_R2_001_fastqc
Filename	WUB_VD18_S196_L003_R1_001.fastq.gz	WUB_VD18_S196_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD18_S196_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD18_S196_L003_R1_001_fastqc
Total Sequences	11056512	WUB_VD18_S196_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD18_S196_L003_R1_001_fastqc
Sequence length	151	WUB_VD18_S196_L003_R1_001_fastqc
%GC	62	WUB_VD18_S196_L003_R1_001_fastqc
Filename	WUB_VD18_S196_L003_R2_001.fastq.gz	WUB_VD18_S196_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD18_S196_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD18_S196_L003_R2_001_fastqc
Total Sequences	11056512	WUB_VD18_S196_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD18_S196_L003_R2_001_fastqc
Sequence length	151	WUB_VD18_S196_L003_R2_001_fastqc
%GC	61	WUB_VD18_S196_L003_R2_001_fastqc
Filename	WUB_VD19_S197_L003_R1_001.fastq.gz	WUB_VD19_S197_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD19_S197_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD19_S197_L003_R1_001_fastqc
Total Sequences	8770793	WUB_VD19_S197_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD19_S197_L003_R1_001_fastqc
Sequence length	151	WUB_VD19_S197_L003_R1_001_fastqc
%GC	62	WUB_VD19_S197_L003_R1_001_fastqc
Filename	WUB_VD19_S197_L003_R2_001.fastq.gz	WUB_VD19_S197_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD19_S197_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD19_S197_L003_R2_001_fastqc
Total Sequences	8770793	WUB_VD19_S197_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD19_S197_L003_R2_001_fastqc
Sequence length	151	WUB_VD19_S197_L003_R2_001_fastqc
%GC	62	WUB_VD19_S197_L003_R2_001_fastqc
Filename	WUB_VD20_S198_L003_R1_001.fastq.gz	WUB_VD20_S198_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD20_S198_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD20_S198_L003_R1_001_fastqc
Total Sequences	14755756	WUB_VD20_S198_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD20_S198_L003_R1_001_fastqc
Sequence length	151	WUB_VD20_S198_L003_R1_001_fastqc
%GC	62	WUB_VD20_S198_L003_R1_001_fastqc
Filename	WUB_VD20_S198_L003_R2_001.fastq.gz	WUB_VD20_S198_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD20_S198_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD20_S198_L003_R2_001_fastqc
Total Sequences	14755756	WUB_VD20_S198_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD20_S198_L003_R2_001_fastqc
Sequence length	151	WUB_VD20_S198_L003_R2_001_fastqc
%GC	62	WUB_VD20_S198_L003_R2_001_fastqc
Filename	WUB_VD21_S199_L003_R1_001.fastq.gz	WUB_VD21_S199_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD21_S199_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD21_S199_L003_R1_001_fastqc
Total Sequences	9712624	WUB_VD21_S199_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD21_S199_L003_R1_001_fastqc
Sequence length	151	WUB_VD21_S199_L003_R1_001_fastqc
%GC	61	WUB_VD21_S199_L003_R1_001_fastqc
Filename	WUB_VD21_S199_L003_R2_001.fastq.gz	WUB_VD21_S199_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD21_S199_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD21_S199_L003_R2_001_fastqc
Total Sequences	9712624	WUB_VD21_S199_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD21_S199_L003_R2_001_fastqc
Sequence length	151	WUB_VD21_S199_L003_R2_001_fastqc
%GC	61	WUB_VD21_S199_L003_R2_001_fastqc
Filename	WUB_VD22_S200_L003_R1_001.fastq.gz	WUB_VD22_S200_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD22_S200_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD22_S200_L003_R1_001_fastqc
Total Sequences	8881789	WUB_VD22_S200_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD22_S200_L003_R1_001_fastqc
Sequence length	151	WUB_VD22_S200_L003_R1_001_fastqc
%GC	62	WUB_VD22_S200_L003_R1_001_fastqc
Filename	WUB_VD22_S200_L003_R2_001.fastq.gz	WUB_VD22_S200_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD22_S200_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD22_S200_L003_R2_001_fastqc
Total Sequences	8881789	WUB_VD22_S200_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD22_S200_L003_R2_001_fastqc
Sequence length	151	WUB_VD22_S200_L003_R2_001_fastqc
%GC	61	WUB_VD22_S200_L003_R2_001_fastqc
Filename	WUB_VD23_S201_L003_R1_001.fastq.gz	WUB_VD23_S201_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD23_S201_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD23_S201_L003_R1_001_fastqc
Total Sequences	9448260	WUB_VD23_S201_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD23_S201_L003_R1_001_fastqc
Sequence length	151	WUB_VD23_S201_L003_R1_001_fastqc
%GC	61	WUB_VD23_S201_L003_R1_001_fastqc
Filename	WUB_VD23_S201_L003_R2_001.fastq.gz	WUB_VD23_S201_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD23_S201_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD23_S201_L003_R2_001_fastqc
Total Sequences	9448260	WUB_VD23_S201_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD23_S201_L003_R2_001_fastqc
Sequence length	151	WUB_VD23_S201_L003_R2_001_fastqc
%GC	61	WUB_VD23_S201_L003_R2_001_fastqc
Filename	WUB_VD24_S202_L003_R1_001.fastq.gz	WUB_VD24_S202_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD24_S202_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD24_S202_L003_R1_001_fastqc
Total Sequences	8719173	WUB_VD24_S202_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD24_S202_L003_R1_001_fastqc
Sequence length	151	WUB_VD24_S202_L003_R1_001_fastqc
%GC	62	WUB_VD24_S202_L003_R1_001_fastqc
Filename	WUB_VD24_S202_L003_R2_001.fastq.gz	WUB_VD24_S202_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD24_S202_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD24_S202_L003_R2_001_fastqc
Total Sequences	8719173	WUB_VD24_S202_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD24_S202_L003_R2_001_fastqc
Sequence length	151	WUB_VD24_S202_L003_R2_001_fastqc
%GC	61	WUB_VD24_S202_L003_R2_001_fastqc
Filename	WUB_VD25_S203_L003_R1_001.fastq.gz	WUB_VD25_S203_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD25_S203_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD25_S203_L003_R1_001_fastqc
Total Sequences	10162972	WUB_VD25_S203_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD25_S203_L003_R1_001_fastqc
Sequence length	151	WUB_VD25_S203_L003_R1_001_fastqc
%GC	62	WUB_VD25_S203_L003_R1_001_fastqc
Filename	WUB_VD25_S203_L003_R2_001.fastq.gz	WUB_VD25_S203_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD25_S203_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD25_S203_L003_R2_001_fastqc
Total Sequences	10162972	WUB_VD25_S203_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD25_S203_L003_R2_001_fastqc
Sequence length	151	WUB_VD25_S203_L003_R2_001_fastqc
%GC	61	WUB_VD25_S203_L003_R2_001_fastqc
Filename	WUB_VD26_S204_L003_R1_001.fastq.gz	WUB_VD26_S204_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD26_S204_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD26_S204_L003_R1_001_fastqc
Total Sequences	10565156	WUB_VD26_S204_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD26_S204_L003_R1_001_fastqc
Sequence length	151	WUB_VD26_S204_L003_R1_001_fastqc
%GC	61	WUB_VD26_S204_L003_R1_001_fastqc
Filename	WUB_VD26_S204_L003_R2_001.fastq.gz	WUB_VD26_S204_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD26_S204_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD26_S204_L003_R2_001_fastqc
Total Sequences	10565156	WUB_VD26_S204_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD26_S204_L003_R2_001_fastqc
Sequence length	151	WUB_VD26_S204_L003_R2_001_fastqc
%GC	61	WUB_VD26_S204_L003_R2_001_fastqc
Filename	WUB_VD27_S205_L003_R1_001.fastq.gz	WUB_VD27_S205_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD27_S205_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD27_S205_L003_R1_001_fastqc
Total Sequences	9331244	WUB_VD27_S205_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD27_S205_L003_R1_001_fastqc
Sequence length	151	WUB_VD27_S205_L003_R1_001_fastqc
%GC	61	WUB_VD27_S205_L003_R1_001_fastqc
Filename	WUB_VD27_S205_L003_R2_001.fastq.gz	WUB_VD27_S205_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD27_S205_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD27_S205_L003_R2_001_fastqc
Total Sequences	9331244	WUB_VD27_S205_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD27_S205_L003_R2_001_fastqc
Sequence length	151	WUB_VD27_S205_L003_R2_001_fastqc
%GC	61	WUB_VD27_S205_L003_R2_001_fastqc
Filename	WUB_VD28_S227_L003_R1_001.fastq.gz	WUB_VD28_S227_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD28_S227_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD28_S227_L003_R1_001_fastqc
Total Sequences	8365829	WUB_VD28_S227_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD28_S227_L003_R1_001_fastqc
Sequence length	151	WUB_VD28_S227_L003_R1_001_fastqc
%GC	61	WUB_VD28_S227_L003_R1_001_fastqc
Filename	WUB_VD28_S227_L003_R2_001.fastq.gz	WUB_VD28_S227_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD28_S227_L003_R2_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD28_S227_L003_R2_001_fastqc
Total Sequences	8365829	WUB_VD28_S227_L003_R2_001_fastqc
Sequences flagged as poor quality	0	WUB_VD28_S227_L003_R2_001_fastqc
Sequence length	151	WUB_VD28_S227_L003_R2_001_fastqc
%GC	60	WUB_VD28_S227_L003_R2_001_fastqc
Filename	WUB_VD29_S206_L003_R1_001.fastq.gz	WUB_VD29_S206_L003_R1_001_fastqc
File type	Conventional base calls	WUB_VD29_S206_L003_R1_001_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD29_S206_L003_R1_001_fastqc
Total Sequences	9236191	WUB_VD29_S206_L003_R1_001_fastqc
Sequences flagged as poor quality	0	WUB_VD29_S206_L003_R1_001_fastqc
Sequence length	151	WUB_VD29_S206_L003_R1_001_fastqc
%GC	62	WUB_VD29_S206_L003_R1_001_fastqc
Filename	WUB_VD29_S206_L003_R2_001.fastq.gz	WUB_VD29_S206_L003_R2_001_fastqc
File type	Conventional base calls	WUB_VD29_S206_L003_R2_001_fastqc
