Measure	Value	Library
Filename	WUB_VD08_R2_rmphix.fq.gz	WUB_VD08_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD08_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD08_R2_rmphix_fastqc
Total Sequences	24308345	WUB_VD08_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD08_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD08_R2_rmphix_fastqc
%GC	63	WUB_VD08_R2_rmphix_fastqc
Filename	WUB_VD09_R1_rmphix.fq.gz	WUB_VD09_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD09_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD09_R1_rmphix_fastqc
Total Sequences	28077211	WUB_VD09_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD09_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD09_R1_rmphix_fastqc
%GC	62	WUB_VD09_R1_rmphix_fastqc
Filename	WUB_VD09_R2_rmphix.fq.gz	WUB_VD09_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD09_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD09_R2_rmphix_fastqc
Total Sequences	28077211	WUB_VD09_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD09_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD09_R2_rmphix_fastqc
%GC	62	WUB_VD09_R2_rmphix_fastqc
Filename	WUB_VD10_R1_rmphix.fq.gz	WUB_VD10_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD10_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD10_R1_rmphix_fastqc
Total Sequences	29247205	WUB_VD10_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD10_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD10_R1_rmphix_fastqc
%GC	62	WUB_VD10_R1_rmphix_fastqc
Filename	WUB_VD10_R2_rmphix.fq.gz	WUB_VD10_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD10_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD10_R2_rmphix_fastqc
Total Sequences	29247205	WUB_VD10_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD10_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD10_R2_rmphix_fastqc
%GC	62	WUB_VD10_R2_rmphix_fastqc
Filename	WUB_VD11_R1_rmphix.fq.gz	WUB_VD11_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD11_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD11_R1_rmphix_fastqc
Total Sequences	26357366	WUB_VD11_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD11_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD11_R1_rmphix_fastqc
%GC	61	WUB_VD11_R1_rmphix_fastqc
Filename	WUB_VD11_R2_rmphix.fq.gz	WUB_VD11_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD11_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD11_R2_rmphix_fastqc
Total Sequences	26357366	WUB_VD11_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD11_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD11_R2_rmphix_fastqc
%GC	61	WUB_VD11_R2_rmphix_fastqc
Filename	WUB_VD12_R1_rmphix.fq.gz	WUB_VD12_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD12_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD12_R1_rmphix_fastqc
Total Sequences	26574014	WUB_VD12_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD12_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD12_R1_rmphix_fastqc
%GC	62	WUB_VD12_R1_rmphix_fastqc
Filename	WUB_VD12_R2_rmphix.fq.gz	WUB_VD12_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD12_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD12_R2_rmphix_fastqc
Total Sequences	26574014	WUB_VD12_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD12_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD12_R2_rmphix_fastqc
%GC	62	WUB_VD12_R2_rmphix_fastqc
Filename	WUB_VD13_R1_rmphix.fq.gz	WUB_VD13_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD13_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD13_R1_rmphix_fastqc
Total Sequences	27835980	WUB_VD13_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD13_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD13_R1_rmphix_fastqc
%GC	61	WUB_VD13_R1_rmphix_fastqc
Filename	WUB_VD13_R2_rmphix.fq.gz	WUB_VD13_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD13_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD13_R2_rmphix_fastqc
Total Sequences	27835980	WUB_VD13_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD13_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD13_R2_rmphix_fastqc
%GC	62	WUB_VD13_R2_rmphix_fastqc
Filename	WUB_VD14_R1_rmphix.fq.gz	WUB_VD14_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD14_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD14_R1_rmphix_fastqc
Total Sequences	27896822	WUB_VD14_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD14_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD14_R1_rmphix_fastqc
%GC	62	WUB_VD14_R1_rmphix_fastqc
Filename	WUB_VD14_R2_rmphix.fq.gz	WUB_VD14_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD14_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD14_R2_rmphix_fastqc
Total Sequences	27896822	WUB_VD14_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD14_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD14_R2_rmphix_fastqc
%GC	62	WUB_VD14_R2_rmphix_fastqc
Filename	WUB_VD15_R1_rmphix.fq.gz	WUB_VD15_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD15_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD15_R1_rmphix_fastqc
Total Sequences	24136486	WUB_VD15_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD15_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD15_R1_rmphix_fastqc
%GC	62	WUB_VD15_R1_rmphix_fastqc
Filename	WUB_VD15_R2_rmphix.fq.gz	WUB_VD15_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD15_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD15_R2_rmphix_fastqc
Total Sequences	24136486	WUB_VD15_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD15_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD15_R2_rmphix_fastqc
%GC	62	WUB_VD15_R2_rmphix_fastqc
Filename	WUB_VD16_R1_rmphix.fq.gz	WUB_VD16_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD16_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD16_R1_rmphix_fastqc
Total Sequences	27698217	WUB_VD16_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD16_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD16_R1_rmphix_fastqc
%GC	62	WUB_VD16_R1_rmphix_fastqc
Filename	WUB_VD16_R2_rmphix.fq.gz	WUB_VD16_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD16_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD16_R2_rmphix_fastqc
Total Sequences	27698217	WUB_VD16_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD16_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD16_R2_rmphix_fastqc
%GC	62	WUB_VD16_R2_rmphix_fastqc
Filename	WUB_VD17_R1_rmphix.fq.gz	WUB_VD17_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD17_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD17_R1_rmphix_fastqc
Total Sequences	26477138	WUB_VD17_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD17_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD17_R1_rmphix_fastqc
%GC	62	WUB_VD17_R1_rmphix_fastqc
Filename	WUB_VD17_R2_rmphix.fq.gz	WUB_VD17_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD17_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD17_R2_rmphix_fastqc
Total Sequences	26477138	WUB_VD17_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD17_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD17_R2_rmphix_fastqc
%GC	62	WUB_VD17_R2_rmphix_fastqc
Filename	WUB_VD18_R1_rmphix.fq.gz	WUB_VD18_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD18_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD18_R1_rmphix_fastqc
Total Sequences	26877540	WUB_VD18_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD18_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD18_R1_rmphix_fastqc
%GC	62	WUB_VD18_R1_rmphix_fastqc
Filename	WUB_VD18_R2_rmphix.fq.gz	WUB_VD18_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD18_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD18_R2_rmphix_fastqc
Total Sequences	26877540	WUB_VD18_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD18_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD18_R2_rmphix_fastqc
%GC	62	WUB_VD18_R2_rmphix_fastqc
Filename	WUB_VD19_R1_rmphix.fq.gz	WUB_VD19_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD19_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD19_R1_rmphix_fastqc
Total Sequences	26747576	WUB_VD19_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD19_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD19_R1_rmphix_fastqc
%GC	63	WUB_VD19_R1_rmphix_fastqc
Filename	WUB_VD19_R2_rmphix.fq.gz	WUB_VD19_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD19_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD19_R2_rmphix_fastqc
Total Sequences	26747576	WUB_VD19_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD19_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD19_R2_rmphix_fastqc
%GC	63	WUB_VD19_R2_rmphix_fastqc
Filename	WUB_VD20_R1_rmphix.fq.gz	WUB_VD20_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD20_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD20_R1_rmphix_fastqc
Total Sequences	28612635	WUB_VD20_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD20_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD20_R1_rmphix_fastqc
%GC	62	WUB_VD20_R1_rmphix_fastqc
Filename	WUB_VD20_R2_rmphix.fq.gz	WUB_VD20_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD20_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD20_R2_rmphix_fastqc
Total Sequences	28612635	WUB_VD20_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD20_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD20_R2_rmphix_fastqc
%GC	62	WUB_VD20_R2_rmphix_fastqc
Filename	WUB_VD21_R1_rmphix.fq.gz	WUB_VD21_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD21_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD21_R1_rmphix_fastqc
Total Sequences	26242372	WUB_VD21_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD21_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD21_R1_rmphix_fastqc
%GC	62	WUB_VD21_R1_rmphix_fastqc
Filename	WUB_VD21_R2_rmphix.fq.gz	WUB_VD21_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD21_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD21_R2_rmphix_fastqc
Total Sequences	26242372	WUB_VD21_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD21_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD21_R2_rmphix_fastqc
%GC	62	WUB_VD21_R2_rmphix_fastqc
Filename	WUB_VD22_R1_rmphix.fq.gz	WUB_VD22_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD22_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD22_R1_rmphix_fastqc
Total Sequences	25190263	WUB_VD22_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD22_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD22_R1_rmphix_fastqc
%GC	62	WUB_VD22_R1_rmphix_fastqc
Filename	WUB_VD22_R2_rmphix.fq.gz	WUB_VD22_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD22_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD22_R2_rmphix_fastqc
Total Sequences	25190263	WUB_VD22_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD22_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD22_R2_rmphix_fastqc
%GC	62	WUB_VD22_R2_rmphix_fastqc
Filename	WUB_VD23_R1_rmphix.fq.gz	WUB_VD23_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD23_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD23_R1_rmphix_fastqc
Total Sequences	26528151	WUB_VD23_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD23_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD23_R1_rmphix_fastqc
%GC	61	WUB_VD23_R1_rmphix_fastqc
Filename	WUB_VD23_R2_rmphix.fq.gz	WUB_VD23_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD23_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD23_R2_rmphix_fastqc
Total Sequences	26528151	WUB_VD23_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD23_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD23_R2_rmphix_fastqc
%GC	62	WUB_VD23_R2_rmphix_fastqc
Filename	WUB_VD24_R1_rmphix.fq.gz	WUB_VD24_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD24_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD24_R1_rmphix_fastqc
Total Sequences	26656902	WUB_VD24_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD24_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD24_R1_rmphix_fastqc
%GC	62	WUB_VD24_R1_rmphix_fastqc
Filename	WUB_VD24_R2_rmphix.fq.gz	WUB_VD24_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD24_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD24_R2_rmphix_fastqc
Total Sequences	26656902	WUB_VD24_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD24_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD24_R2_rmphix_fastqc
%GC	62	WUB_VD24_R2_rmphix_fastqc
Filename	WUB_VD25_R1_rmphix.fq.gz	WUB_VD25_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD25_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD25_R1_rmphix_fastqc
Total Sequences	26871515	WUB_VD25_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD25_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD25_R1_rmphix_fastqc
%GC	62	WUB_VD25_R1_rmphix_fastqc
Filename	WUB_VD25_R2_rmphix.fq.gz	WUB_VD25_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD25_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD25_R2_rmphix_fastqc
Total Sequences	26871515	WUB_VD25_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD25_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD25_R2_rmphix_fastqc
%GC	62	WUB_VD25_R2_rmphix_fastqc
Filename	WUB_VD26_R1_rmphix.fq.gz	WUB_VD26_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD26_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD26_R1_rmphix_fastqc
Total Sequences	26092807	WUB_VD26_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD26_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD26_R1_rmphix_fastqc
%GC	61	WUB_VD26_R1_rmphix_fastqc
Filename	WUB_VD26_R2_rmphix.fq.gz	WUB_VD26_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD26_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD26_R2_rmphix_fastqc
Total Sequences	26092807	WUB_VD26_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD26_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD26_R2_rmphix_fastqc
%GC	62	WUB_VD26_R2_rmphix_fastqc
Filename	WUB_VD27_R1_rmphix.fq.gz	WUB_VD27_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD27_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD27_R1_rmphix_fastqc
Total Sequences	28954901	WUB_VD27_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD27_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD27_R1_rmphix_fastqc
%GC	61	WUB_VD27_R1_rmphix_fastqc
Filename	WUB_VD27_R2_rmphix.fq.gz	WUB_VD27_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD27_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD27_R2_rmphix_fastqc
Total Sequences	28954901	WUB_VD27_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD27_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD27_R2_rmphix_fastqc
%GC	61	WUB_VD27_R2_rmphix_fastqc
Filename	WUB_VD28_R1_rmphix.fq.gz	WUB_VD28_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD28_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD28_R1_rmphix_fastqc
Total Sequences	33633548	WUB_VD28_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD28_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD28_R1_rmphix_fastqc
%GC	62	WUB_VD28_R1_rmphix_fastqc
Filename	WUB_VD28_R2_rmphix.fq.gz	WUB_VD28_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD28_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD28_R2_rmphix_fastqc
Total Sequences	33633548	WUB_VD28_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD28_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD28_R2_rmphix_fastqc
%GC	62	WUB_VD28_R2_rmphix_fastqc
Filename	WUB_VD29_R1_rmphix.fq.gz	WUB_VD29_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD29_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD29_R1_rmphix_fastqc
Total Sequences	28172869	WUB_VD29_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD29_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD29_R1_rmphix_fastqc
%GC	62	WUB_VD29_R1_rmphix_fastqc
Filename	WUB_VD29_R2_rmphix.fq.gz	WUB_VD29_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD29_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD29_R2_rmphix_fastqc
Total Sequences	28172869	WUB_VD29_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD29_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD29_R2_rmphix_fastqc
%GC	62	WUB_VD29_R2_rmphix_fastqc
Filename	WUB_VD30_R1_rmphix.fq.gz	WUB_VD30_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD30_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD30_R1_rmphix_fastqc
Total Sequences	30754705	WUB_VD30_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD30_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD30_R1_rmphix_fastqc
%GC	62	WUB_VD30_R1_rmphix_fastqc
Filename	WUB_VD30_R2_rmphix.fq.gz	WUB_VD30_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD30_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD30_R2_rmphix_fastqc
Total Sequences	30754705	WUB_VD30_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD30_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD30_R2_rmphix_fastqc
%GC	62	WUB_VD30_R2_rmphix_fastqc
Filename	WUB_VD31_R1_rmphix.fq.gz	WUB_VD31_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD31_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD31_R1_rmphix_fastqc
Total Sequences	25822259	WUB_VD31_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD31_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD31_R1_rmphix_fastqc
%GC	62	WUB_VD31_R1_rmphix_fastqc
Filename	WUB_VD31_R2_rmphix.fq.gz	WUB_VD31_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD31_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD31_R2_rmphix_fastqc
Total Sequences	25822259	WUB_VD31_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD31_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD31_R2_rmphix_fastqc
%GC	62	WUB_VD31_R2_rmphix_fastqc
Filename	WUB_VD32_R1_rmphix.fq.gz	WUB_VD32_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD32_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD32_R1_rmphix_fastqc
Total Sequences	27039058	WUB_VD32_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD32_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD32_R1_rmphix_fastqc
%GC	61	WUB_VD32_R1_rmphix_fastqc
Filename	WUB_VD32_R2_rmphix.fq.gz	WUB_VD32_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD32_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD32_R2_rmphix_fastqc
Total Sequences	27039058	WUB_VD32_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD32_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD32_R2_rmphix_fastqc
%GC	62	WUB_VD32_R2_rmphix_fastqc
Filename	WUB_VD33_R1_rmphix.fq.gz	WUB_VD33_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD33_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD33_R1_rmphix_fastqc
Total Sequences	27100094	WUB_VD33_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD33_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD33_R1_rmphix_fastqc
%GC	61	WUB_VD33_R1_rmphix_fastqc
Filename	WUB_VD33_R2_rmphix.fq.gz	WUB_VD33_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD33_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD33_R2_rmphix_fastqc
Total Sequences	27100094	WUB_VD33_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD33_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD33_R2_rmphix_fastqc
%GC	62	WUB_VD33_R2_rmphix_fastqc
Filename	WUB_VD34_R1_rmphix.fq.gz	WUB_VD34_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD34_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD34_R1_rmphix_fastqc
Total Sequences	29353535	WUB_VD34_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD34_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD34_R1_rmphix_fastqc
%GC	62	WUB_VD34_R1_rmphix_fastqc
Filename	WUB_VD34_R2_rmphix.fq.gz	WUB_VD34_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD34_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD34_R2_rmphix_fastqc
Total Sequences	29353535	WUB_VD34_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD34_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD34_R2_rmphix_fastqc
%GC	62	WUB_VD34_R2_rmphix_fastqc
Filename	WUB_VD35_R1_rmphix.fq.gz	WUB_VD35_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD35_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD35_R1_rmphix_fastqc
Total Sequences	29401659	WUB_VD35_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD35_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD35_R1_rmphix_fastqc
%GC	62	WUB_VD35_R1_rmphix_fastqc
Filename	WUB_VD35_R2_rmphix.fq.gz	WUB_VD35_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD35_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD35_R2_rmphix_fastqc
Total Sequences	29401659	WUB_VD35_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD35_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD35_R2_rmphix_fastqc
%GC	62	WUB_VD35_R2_rmphix_fastqc
Filename	WUB_VD36_R1_rmphix.fq.gz	WUB_VD36_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD36_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD36_R1_rmphix_fastqc
Total Sequences	29556933	WUB_VD36_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD36_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD36_R1_rmphix_fastqc
%GC	62	WUB_VD36_R1_rmphix_fastqc
Filename	WUB_VD36_R2_rmphix.fq.gz	WUB_VD36_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD36_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD36_R2_rmphix_fastqc
Total Sequences	29556933	WUB_VD36_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD36_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD36_R2_rmphix_fastqc
%GC	62	WUB_VD36_R2_rmphix_fastqc
